City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tommot,58.96,126.29,14.05,92,100,2.8,RU,1604115871
Bitung,1.45,125.18,89.6,55,20,4.7,ID,1604115871
Greeneville,36.16,-82.83,42.8,75,90,5.82,US,1604115871
Santoña,43.44,-3.46,53.6,93,0,4.81,ES,1604115871
Flinders,-34.58,150.86,63.0,87,50,1.99,AU,1604115530
Nabire,-3.37,135.48,87.04,63,51,5.55,ID,1604115872
Pombas,17.15,-25.02,77.0,73,40,35.57,CV,1604115872
Talara,-4.58,-81.27,63.21,90,85,13.87,PE,1604115872
Lincoln,40.8,-96.67,51.8,53,1,9.17,US,1604115641
Gondanglegi,-7.75,112.01,89.65,55,91,8.3,ID,1604115534
Tsiroanomandidy,-18.77,46.03,66.24,51,0,2.91,MG,1604115873
Bubaque,11.28,-15.83,83.64,75,49,9.86,GW,1604115873
Waingapu,-9.66,120.26,87.15,63,59,11.41,ID,1604115469
Fonte Boa,-2.5,-66.27,75.65,97,100,2.24,BR,1604115475
Taoudenni,22.68,-3.98,71.87,27,70,10.85,ML,1604115469
Acajutla,13.59,-89.83,72.0,94,41,5.75,SV,1604115873
Dagda,56.1,27.54,43.68,98,81,4.7,LV,1604115874
Shihezi,44.3,86.03,44.51,54,72,2.35,CN,1604115874
Charters Towers,-20.1,146.27,92.7,17,0,6.85,AU,1604115874
Labuhan,-6.88,112.21,87.82,57,80,3.11,ID,1604115874
Kendari,-3.94,122.5,92.7,46,82,3.51,ID,1604115874
Matara,5.95,80.54,84.81,66,92,7.56,LK,1604115874
Plettenberg Bay,-34.05,23.37,52.72,72,0,3.11,ZA,1604115875
Novyy Urgal,51.07,132.56,39.42,68,100,2.19,RU,1604115535
Doha,25.29,51.53,79.0,69,0,4.7,QA,1604115708
Cuamba,-14.8,36.54,69.58,75,1,1.52,MZ,1604115875
Orbetello,42.44,11.22,48.2,87,0,4.7,IT,1604115875
Orocué,4.79,-71.34,78.69,84,8,5.17,CO,1604115875
Pilar,-9.6,-35.96,75.2,94,75,2.24,BR,1604115876
Caçapava,-23.1,-45.71,62.6,93,90,5.82,BR,1604115876
Aksarka,66.56,67.8,34.48,98,100,13.53,RU,1604115876
Conceição do Araguaia,-8.26,-49.26,75.42,93,100,2.42,BR,1604115876
Anloga,5.79,0.9,78.8,88,20,3.36,GH,1604115637
Florianópolis,-27.61,-48.5,62.6,88,40,9.17,BR,1604115556
Neijiang,29.58,105.06,62.13,74,100,5.17,CN,1604115877
Belmopan,17.25,-88.77,73.99,87,42,2.1,BZ,1604115681
Coruripe,-10.13,-36.18,76.15,87,92,11.56,BR,1604115655
Soyo,-6.13,12.37,76.66,85,89,5.37,AO,1604115877
City of San Pedro,14.35,121.02,91.99,55,40,11.41,PH,1604115877
Province of Mantua,45.17,10.78,48.2,100,0,1.12,IT,1604115878
Kudahuvadhoo,2.67,72.89,82.83,71,87,6.67,MV,1604115538
Kamenka,51.32,42.77,47.46,94,100,7.36,RU,1604115454
Le Moule,16.33,-61.35,80.6,74,0,9.17,GP,1604115878
Alakurtti,66.97,30.35,24.78,97,0,1.41,RU,1604115878
Macia,-25.03,33.1,70.97,79,96,9.69,MZ,1604115878
Jiangyou,31.77,104.72,62.01,67,100,2.21,CN,1604115878
Orán,-23.13,-64.33,62.01,81,0,1.83,AR,1604115878
Soe,-9.86,124.28,89.58,34,14,7.83,ID,1604115879
Assiut,27.18,31.18,64.4,82,0,11.41,EG,1604115879
Buraidah,26.33,43.98,55.4,47,0,6.96,SA,1604115879
Petatlán,17.52,-101.27,75.16,85,67,3.69,MX,1604115879
Belyy Yar,53.6,91.39,33.8,79,75,6.71,RU,1604115879
Kiama,-34.68,150.87,64.0,90,53,5.01,AU,1604115880
Vila do Maio,15.13,-23.22,77.0,78,0,18.34,CV,1604115880
Tsumeb,-19.23,17.72,72.16,54,77,4.0,NA,1604115880
Bujoru,43.72,25.57,42.01,92,64,1.01,RO,1604115880
Siuna,13.73,-84.78,73.29,95,100,3.47,NI,1604115880
Tacuatí,-23.45,-56.58,66.49,74,28,4.0,PY,1604115880
Aguada de Cima,40.52,-8.43,53.01,91,2,3.44,PT,1604115791
Rockland,41.17,-74.05,32.0,95,26,3.89,US,1604115881
Ketchikan,55.34,-131.65,44.6,81,90,6.93,US,1604115756
Teyateyaneng,-29.15,27.75,58.59,80,95,1.74,LS,1604115881
Tonantins,-2.87,-67.8,74.66,97,100,4.09,BR,1604115881
Letka,59.6,49.42,33.85,95,100,8.39,RU,1604115621
Okhotsk,59.38,143.3,22.19,84,100,10.83,RU,1604115881
Mīzan Teferī,6.98,35.58,61.74,92,91,1.72,ET,1604115881
La Romana,18.43,-68.97,77.0,94,75,8.97,DO,1604115882
Ancud,-41.87,-73.82,50.0,76,0,6.93,CL,1604115473
Husavik,66.04,-17.34,44.6,65,75,23.04,IS,1604115479
Koygorodok,60.45,51.0,33.82,92,100,8.81,RU,1604115882
Praia,14.92,-23.51,77.0,78,0,18.34,CV,1604115882
Akureyri,65.68,-18.09,44.6,65,75,23.04,IS,1604115882
Broken Hill,-31.95,141.43,64.4,59,90,17.22,AU,1604115521
Yuci,37.68,112.73,55.4,22,0,11.18,CN,1604115883
Acapulco de Juárez,16.86,-99.89,82.4,88,90,4.7,MX,1604115883
Vestmannaeyjar,63.44,-20.27,46.54,79,67,25.19,IS,1604115548
Sistranda,63.73,8.83,44.6,93,75,4.7,NO,1604115561
Amudat,1.95,34.95,69.22,72,15,3.27,UG,1604115883
Chebenki,51.93,55.71,35.6,64,0,8.95,RU,1604115883
Praia da Vitória,38.73,-27.07,69.8,94,40,12.01,PT,1604115543
Spirit River,55.78,-118.84,24.8,85,14,9.17,CA,1604115884
Rafrāf,37.19,10.18,60.8,82,20,3.36,TN,1604115884
Yugorsk,61.31,63.33,32.72,94,100,9.48,RU,1604115884
Surgut,61.25,73.42,33.8,100,90,11.18,RU,1604115884
Batemans Bay,-35.72,150.18,61.0,100,100,1.99,AU,1604115514
Daru,-9.08,143.21,85.12,69,16,10.78,PG,1604115884
Gorodishche,48.8,44.47,50.0,87,75,8.95,RU,1604115885
Vershino-Darasunskiy,52.35,115.52,28.27,86,98,8.12,RU,1604115885
Havelock,34.88,-76.9,57.2,62,1,12.75,US,1604115686
Lakatoro,-16.1,167.42,84.2,74,90,9.17,VU,1604115885
Dunga Bunga,29.75,73.24,77.85,18,0,4.7,PK,1604115885
Nianzishan,47.52,122.88,50.0,72,97,1.99,CN,1604115885
Aksu,41.12,80.26,50.34,44,22,2.48,CN,1604115885
Catuday,16.29,119.81,83.23,74,42,8.97,PH,1604115886
Kiunga,-6.12,141.29,93.74,48,45,3.2,PG,1604115886
Lavrentiya,65.58,-171.0,20.48,89,0,10.49,RU,1604115886
Gizo Government Station,-8.1,156.84,84.34,67,75,2.75,SB,1604115886
Moose Factory,51.26,-80.61,26.6,63,90,9.17,CA,1604115886
Airai,-8.93,125.41,80.02,42,0,4.72,TL,1604115504
Qandala,11.47,49.87,80.15,62,5,8.28,SO,1604115887
Santa Maria,-29.68,-53.81,60.8,77,40,10.29,BR,1604115475
Beloha,-25.17,45.05,68.43,59,0,11.27,MG,1604115887
Washington,47.5,-120.5,44.6,52,1,12.75,US,1604115660
Bambanglipuro,-7.95,110.28,86.61,62,51,7.92,ID,1604115887
Senador José Porfírio,-2.59,-51.95,75.07,93,86,1.01,BR,1604115887
Clearwater,27.97,-82.8,70.0,63,0,5.82,US,1604115887
Emerald,-23.53,148.17,91.99,14,0,8.05,AU,1604115888
Mezen',65.85,44.24,33.24,93,35,7.29,RU,1604115545
Egvekinot,66.32,-179.17,12.6,84,41,9.08,RU,1604115568
Picayune,30.53,-89.68,48.99,92,0,4.03,US,1604115736
Tezu,27.92,96.17,84.06,39,92,2.3,IN,1604115888
Ulu-Telyak,54.91,56.97,35.08,84,100,4.61,RU,1604115888
Manicoré,-5.81,-61.3,74.86,96,92,1.32,BR,1604115889
Don Sak,9.32,99.69,90.0,66,20,5.82,TH,1604115889
Oranjemund,-28.55,16.43,55.02,85,1,14.14,NA,1604115531
Porkhov,57.77,29.56,46.4,93,75,4.47,RU,1604115889
Vardø,70.37,31.11,34.36,85,28,8.7,NO,1604115889
Buluang,13.31,123.34,85.68,70,100,10.65,PH,1604115889
Turaif,31.67,38.66,59.0,26,0,5.82,SA,1604115890
Grand Gaube,-20.01,57.66,71.01,53,0,11.01,MU,1604115524
Boa Vista,2.82,-60.67,80.6,69,40,2.24,BR,1604115694
College,64.86,-147.8,12.2,78,90,4.7,US,1604115521
Bestöbe,52.5,73.1,36.37,83,64,7.2,KZ,1604115891
Meulaboh,4.14,96.13,85.15,63,100,2.93,ID,1604115516
Haines Junction,60.75,-137.51,17.6,72,100,1.12,CA,1604115471
Lodwar,3.12,35.6,80.02,57,35,9.84,KE,1604115891
Porto Velho,-8.76,-63.9,77.0,94,40,3.31,BR,1604115748
Ust-Nera,64.57,143.2,-1.97,84,18,2.59,RU,1604115891
Richards Bay,-28.78,32.04,67.1,82,83,11.3,ZA,1604115891
Bowen,-20.02,148.23,91.4,41,0,13.87,AU,1604115891
Vanavara,60.34,102.28,11.61,94,92,5.17,RU,1604115892
Ha Tinh,18.33,105.9,73.18,92,99,3.85,VN,1604115892
Iporá,-16.44,-51.12,72.86,79,91,4.43,BR,1604115892
Chokwé,-24.53,32.98,72.63,72,93,12.53,MZ,1604115892
Isabela,6.71,121.97,87.8,74,40,5.82,PH,1604115892
Ayr,55.46,-4.63,46.4,81,40,18.34,GB,1604115892
Suwannaphum,15.6,103.8,87.01,66,40,10.29,TH,1604115892
Koumac,-20.57,164.28,82.26,61,68,7.63,NC,1604115893
Saint-Pierre,-21.34,55.48,68.0,64,40,9.17,RE,1604115465
Saint Anthony,45.02,-93.22,39.2,60,1,12.75,US,1604115893
Honningsvåg,70.98,25.97,35.47,80,13,20.29,NO,1604115893
Mossamedes,-15.2,12.15,73.13,79,74,5.75,AO,1604115893
Sharkan,57.3,53.87,35.01,93,100,6.71,RU,1604115893
Sechura,-5.56,-80.82,64.15,82,99,11.81,PE,1604115894
Ambilobe,-13.2,49.05,76.62,53,17,8.72,MG,1604115457
Cabedelo,-6.98,-34.83,78.8,83,75,5.82,BR,1604115894
Ambulu,-8.35,113.61,79.0,81,99,6.04,ID,1604115514
Wagar,16.15,36.2,78.98,48,0,4.5,SD,1604115478
Pringsewu,-5.36,104.97,92.52,49,92,2.13,ID,1604115894
Östersund,63.18,14.64,39.2,93,100,10.29,SE,1604115465
São Paulo de Olivença,-3.38,-68.87,74.19,98,100,5.5,BR,1604115894
Biasca,46.36,8.97,41.0,100,0,5.12,CH,1604115810
San Cristobal,7.77,-72.22,67.78,92,98,2.53,VE,1604115895
Boshnyakovo,49.63,142.17,41.13,67,84,6.46,RU,1604115895
Dire Dawa,9.59,41.87,70.12,59,54,3.51,ET,1604115895
Shitanjing,39.23,106.34,44.06,51,20,19.17,CN,1604115895
